Country,Imports [Percent of GDP] 2016,Income per person [GDP per person] 2020,Exports [Percent of GDP] 2016,CO2 emissions [Tonnes per Person] 2014,Energy production [Tonnes of oil equivalent per Person] 2009,Inflation annual [Percent] 2017,Life expectancy [Years] 2018,Babies per woman 2018,Democracy score 2011,Median age [Years] 2020,Military expenditure [Percent of GDP] 2016,Oil production [Tonnes] 2016,Child mortality [0-5 year olds dying per 1000 born] 2018
Morocco,45.3,8240.0,35.1,1.74,0.00002,,75.5,2.42,-4.0,29.6,3.21,,24.0
Mozambique,74.1,1280.0,36.7,0.31,0.0005200000000000001,9.77,61.1,5.12,5.0,17.7,1.03,,71.3
Myanmar,22.0,6960.0,17.1,0.41700000000000004,0.00047000000000000004,10.2,70.3,2.17,-3.0,29.1,3.74,,50.3
Namibia,64.0,11200.0,41.1,1.58,0.00015,6.82,65.7,3.3,6.0,22.0,3.85,,43.4
Nauru,102.0,12700.0,48.8,4.31,,3.41,,,,,,,
Nepal,39.4,2560.0,9.49,0.284,0.0003,7.59,71.5,2.05,6.0,25.0,1.54,,31.4
Netherlands,71.4,50000.0,82.4,9.91,0.00381,1.15,81.9,1.75,10.0,43.2,1.17,,3.25
New Zealand,25.5,37400.0,25.8,7.59,0.00352,3.42,81.8,1.97,10.0,37.9,1.14,,5.35
Nicaragua,56.0,5830.0,39.1,0.809,0.0003,4.91,78.7,2.14,9.0,27.3,0.643,,18.1
Niger,33.2,1020.0,16.2,0.111,,-0.11,62.5,7.13,6.0,15.1,2.24,,87.6
Nigeria,11.5,5800.0,9.22,0.546,0.00148,11.1,66.1,5.39,4.0,18.1,0.433,98800000.0,97.9
North Korea,,1380.0,,1.61,0.00084,,71.1,1.89,-10.0,35.3,,,18.2
Norway,33.3,65900.0,34.1,9.27,0.0442,3.85,82.4,1.83,10.0,39.7,1.62,90400000.0,2.26
Oman,35.6,38000.0,41.2,15.4,0.0248,9.0,78.1,2.52,-8.0,30.7,16.0,49300000.0,9.68
Pakistan,16.2,5600.0,9.15,0.8959999999999999,0.00037999999999999997,4.0,68.0,3.35,6.0,23.5,3.37,,76.8
Palau,72.2,16100.0,54.0,12.3,,0.0365,,,,,,,
Palestine,56.8,2710.0,17.7,0.626,,4.7,72.2,3.88,,20.4,,,18.6
